"","2000","3000","4000","5000","6000","7000","8000","9000","10000","11000","12000","13000","14000","15000","16000","17000","18000","19000","20000","21000","22000","23000","24000","25000","26000","27000","28000","29000","30000","31000","32000","33000","34000","35000","36000","37000","38000","39000","40000","41000","42000","43000","44000","45000","46000","47000","48000","49000","50000"
"1",0,0,0,0,0,0,0,0,2,0,3,0,0,0,0,0,0,2,6,5,3,3,0,4,1,8,1,2,1,4,3,9,4,5,5,2,2,7,12,9,9,6,12,5,5,11,7,15,9
"2",0,0,2,0,2,1,0,0,0,1,5,1,0,2,2,2,1,2,6,2,1,0,0,2,4,3,1,2,3,4,7,1,8,5,2,5,14,0,9,7,7,4,14,8,7,14,11,14,12
"3",0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,2,2,1,2,2,2,4,1,7,0,4,6,3,9,1,3,7,8,11,12,5,12,8,6,7,9,8,21,15,7,14,11,13,10
"4",0,0,0,0,0,1,0,2,0,0,2,1,0,2,0,2,2,2,3,4,3,0,2,5,2,5,0,1,2,0,6,8,6,7,8,2,8,5,5,6,18,3,3,8,11,10,10,2,12
"5",0,0,0,0,0,0,0,0,1,2,2,0,0,1,3,4,1,1,5,4,2,0,3,0,0,1,3,3,9,3,7,3,1,4,3,1,8,15,3,3,4,12,7,19,6,16,13,6,9
"6",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,2,2,2,3,3,2,1,3,5,4,7,5,8,2,5,9,5,6,4,5,3,5,11,1,14,13,8,4,12,8,15
"7",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,1,2,2,1,0,1,3,4,0,4,1,2,12,9,7,5,5,11,6,4,3,6,7,6,11,11,12,8,14,8,6,9
"8",0,2,0,1,1,2,0,2,2,4,1,1,2,0,5,0,2,0,1,2,2,3,3,1,4,1,2,5,2,3,2,10,3,8,7,8,3,15,6,10,8,11,3,1,7,6,1,6,6
"9",0,0,0,0,0,0,3,0,0,0,1,1,0,1,0,1,0,3,2,2,0,3,2,3,5,1,4,4,5,2,4,7,4,5,7,7,5,7,9,19,1,12,10,19,10,8,4,5,7
"10",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,2,2,2,3,3,2,1,3,5,4,7,5,8,2,5,9,5,6,4,5,3,5,11,1,14,13,8,4,12,8,15
"11",0,0,0,0,0,1,0,2,0,0,2,1,0,2,0,2,2,2,3,4,3,0,2,5,2,5,0,1,2,0,6,8,6,7,8,2,8,5,5,6,18,3,3,8,11,10,10,2,12
"12",0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,2,2,1,2,2,2,4,1,7,0,4,6,3,9,1,3,7,8,11,12,5,12,8,6,7,9,8,21,15,7,14,11,13,10
"13",0,0,2,0,2,1,0,0,0,1,5,1,0,2,2,2,1,2,6,2,1,0,0,2,4,3,1,2,3,4,7,1,8,5,2,5,14,0,9,7,7,4,14,8,7,14,11,14,12
"14",0,0,0,0,0,0,0,0,2,0,3,0,0,0,0,0,0,2,6,5,3,3,0,4,1,8,1,2,1,4,3,9,4,5,5,2,2,7,12,9,9,6,12,5,5,11,7,15,9
"15",0,2,0,1,1,2,0,2,2,4,1,1,2,0,5,0,2,0,1,2,2,3,3,1,4,1,2,5,2,3,2,10,3,8,7,8,3,15,6,10,8,11,3,1,7,6,1,6,6
"16",0,0,0,0,0,0,0,0,1,2,2,0,0,1,3,4,1,1,5,4,2,0,3,0,0,1,3,3,9,3,7,3,1,4,3,1,8,15,3,3,4,12,7,19,6,16,13,6,9
"17",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,1,2,2,1,0,1,3,4,0,4,1,2,12,9,7,5,5,11,6,4,3,6,7,6,11,11,12,8,14,8,6,9
"18",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,1,2,2,1,0,1,3,4,0,4,1,2,12,9,7,5,5,11,6,4,3,6,7,6,11,11,12,8,14,8,6,9
"19",0,0,2,0,2,1,0,0,0,1,5,1,0,2,2,2,1,2,6,2,1,0,0,2,4,3,1,2,3,4,7,1,8,5,2,5,14,0,9,7,7,4,14,8,7,14,11,14,12
"20",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,2,2,2,3,3,2,1,3,5,4,7,5,8,2,5,9,5,6,4,5,3,5,11,1,14,13,8,4,12,8,15
"21",0,0,0,0,0,0,0,1,0,4,0,0,1,0,2,2,5,1,5,0,5,2,1,0,1,0,3,2,6,7,4,4,4,5,0,9,5,4,12,4,4,9,10,10,13,16,10,11,4
"22",0,0,0,0,0,0,3,0,0,0,1,1,0,1,0,1,0,3,2,2,0,3,2,3,5,1,4,4,5,2,4,7,4,5,7,7,5,7,9,19,1,12,10,19,10,8,4,5,7
"23",0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,2,2,1,2,2,2,4,1,7,0,4,6,3,9,1,3,7,8,11,12,5,12,8,6,7,9,8,21,15,7,14,11,13,10
"24",0,0,0,0,0,0,0,0,2,0,3,0,0,0,0,0,0,2,6,5,3,3,0,4,1,8,1,2,1,4,3,9,4,5,5,2,2,7,12,9,9,6,12,5,5,11,7,15,9
"25",0,0,0,0,0,1,0,2,0,0,2,1,0,2,0,2,2,2,3,4,3,0,2,5,2,5,0,1,2,0,6,8,6,7,8,2,8,5,5,6,18,3,3,8,11,10,10,2,12
"26",0,2,0,1,1,2,0,2,2,4,1,1,2,0,5,0,2,0,1,2,2,3,3,1,4,1,2,5,2,3,2,10,3,8,7,8,3,15,6,10,8,11,3,1,7,6,1,6,6
"27",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,1,2,2,1,0,1,3,4,0,4,1,2,12,9,7,5,5,11,6,4,3,6,7,6,11,11,12,8,14,8,6,9
"28",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,2,2,2,3,3,2,1,3,5,4,7,5,8,2,5,9,5,6,4,5,3,5,11,1,14,13,8,4,12,8,15
"29",0,0,0,0,0,0,0,0,2,0,3,0,0,0,0,0,0,2,6,5,3,3,0,4,1,8,1,2,1,4,3,9,4,5,5,2,2,7,12,9,9,6,12,5,5,11,7,15,9
"30",0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,3,0,2,3,6,3,2,3,4,2,1,5,6,12,8,8,6,5,3,8,6,11,6,8,16,11,14,13,9,12,8,15,2,9
"31",0,0,0,0,0,0,0,1,0,4,0,0,1,0,2,2,5,1,5,0,5,2,1,0,1,0,3,2,6,7,4,4,4,5,0,9,5,4,12,4,4,9,10,10,13,16,10,11,4
"32",0,0,2,2,0,1,0,0,0,0,1,6,0,0,1,3,2,1,5,3,2,1,0,0,5,4,1,3,2,1,8,5,2,6,4,6,12,7,3,8,8,9,3,8,15,15,7,9,15
"33",0,0,0,0,0,0,3,0,0,0,1,1,0,1,0,1,0,3,2,2,0,3,2,3,5,1,4,4,5,2,4,7,4,5,7,7,5,7,9,19,1,12,10,19,10,8,4,5,7
"34",0,0,0,0,0,0,0,0,0,0,1,0,1,3,0,1,2,3,1,0,1,6,2,5,2,3,5,5,6,3,4,4,8,6,17,10,10,6,6,10,9,6,11,18,9,15,12,9,15
"35",0,2,0,1,1,2,0,2,2,4,1,1,2,0,5,0,2,0,1,2,2,3,3,1,4,1,2,5,2,3,2,10,3,8,7,8,3,15,6,10,8,11,3,1,7,6,1,6,6
"36",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,1,2,2,1,0,1,3,4,0,4,1,2,12,9,7,5,5,11,6,4,3,6,7,6,11,11,12,8,14,8,6,9
"37",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,2,2,2,0,2,2,4,1,3,5,9,5,5,4,7,1,6,4,10,3,6,3,4,7,6,15,5,12,7,8,7,21
"38",0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,3,0,2,3,6,3,2,3,4,2,1,5,6,12,8,8,6,5,3,8,6,11,6,8,16,11,14,13,9,12,8,15,2,9
"39",0,0,0,0,0,0,3,0,0,0,1,1,0,1,0,1,0,3,2,2,0,3,2,3,5,1,4,4,5,2,4,7,4,5,7,7,5,7,9,19,1,12,10,19,10,8,4,5,7
"40",0,0,0,0,0,0,0,0,2,0,3,0,0,0,0,0,0,2,6,5,3,3,0,4,1,8,1,2,1,4,3,9,4,5,5,2,2,7,12,9,9,6,12,5,5,11,7,15,9
"41",0,0,2,2,0,1,0,0,0,0,1,6,0,0,1,3,2,1,5,3,2,1,0,0,5,4,1,3,2,1,8,5,2,6,4,6,12,7,3,8,8,9,3,8,15,15,7,9,15
"42",0,0,0,0,0,0,0,0,0,0,1,0,1,3,0,1,2,3,1,0,1,6,2,5,2,3,5,5,6,3,4,4,8,6,17,10,10,6,6,10,9,6,11,18,9,15,12,9,15
"43",0,2,1,0,3,0,0,0,4,4,2,0,2,0,4,1,2,0,0,3,2,1,2,4,4,1,2,6,1,3,2,4,12,5,6,9,2,14,7,9,10,11,2,1,8,7,0,3,10
"44",0,0,0,0,0,0,0,1,0,4,0,0,1,0,2,2,5,1,5,0,5,2,1,0,1,0,3,2,6,7,4,4,4,5,0,9,5,4,12,4,4,9,10,10,13,16,10,11,4
"45",0,0,2,2,0,1,0,0,0,1,5,1,0,1,1,4,0,2,7,0,2,1,0,1,2,6,1,3,0,6,4,4,10,0,6,7,7,7,6,7,11,2,7,12,10,13,11,13,9
"46",0,0,0,0,0,0,3,0,0,0,1,1,0,1,0,1,0,3,2,2,0,3,2,3,5,1,4,4,5,2,4,7,4,5,7,7,5,7,9,19,1,12,10,19,10,8,4,5,7
"47",0,0,0,0,0,0,0,0,2,0,3,0,0,0,0,0,0,2,6,5,3,2,1,4,1,8,1,2,1,4,3,9,3,6,5,2,2,9,10,9,9,7,11,4,5,11,9,14,9
"48",0,2,1,0,3,0,0,0,4,4,2,0,2,0,4,1,2,0,0,3,2,1,2,4,4,1,2,6,1,3,2,4,12,5,6,9,2,14,7,9,10,11,2,1,8,7,0,3,10
"49",0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2,1,2,3,6,3,2,3,4,2,1,5,6,9,11,8,6,6,2,8,7,9,4,10,13,15,11,15,9,13,8,15,2,9
"50",0,0,0,0,0,0,0,1,0,4,0,0,1,0,2,2,5,1,5,0,5,2,1,0,1,0,3,2,6,7,4,4,4,5,0,9,5,4,12,4,4,9,10,10,13,16,10,11,4
"51",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,2,2,2,0,2,2,4,1,3,5,9,5,5,4,7,1,6,4,10,3,6,3,4,7,6,15,5,12,7,8,7,21
"52",0,0,0,0,0,0,0,0,0,0,1,0,1,3,0,2,1,2,2,0,1,4,4,5,2,2,5,7,5,3,5,5,6,9,17,9,8,6,6,10,7,9,10,18,12,11,12,12,17
"53",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,3,0,0,3,2,1,4,1,2,0,7,9,13,2,2,10,7,8,4,4,10,5,5,14,7,9,16,11,8,7,10
"54",0,0,0,2,0,3,0,0,0,0,0,0,1,4,2,0,0,1,5,2,2,2,4,6,1,0,2,1,9,1,4,1,1,7,7,10,7,9,5,8,8,10,7,11,8,13,5,7,7
"55",0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,2,2,1,2,2,2,4,1,7,0,4,6,3,9,1,4,6,8,11,12,7,10,9,5,8,7,9,21,15,7,14,12,13,9
"56",0,0,0,0,0,1,0,2,0,0,2,1,0,2,0,2,2,2,3,4,3,0,2,5,2,5,0,1,2,0,6,8,6,7,8,2,8,5,5,6,18,3,3,8,11,10,10,2,12
"57",0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,3,0,2,3,6,3,2,3,4,2,1,6,5,12,8,9,5,5,3,8,7,10,6,9,15,11,14,14,8,13,8,13,3,9
"58",0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,0,0,2,1,0,4,4,0,1,6,5,2,2,4,13,6,5,8,4,8,4,5,3,8,5,12,6,6,15,15,12,15,5
"59",0,2,1,0,3,0,0,0,4,4,2,0,2,0,4,1,2,0,0,3,2,1,2,4,4,1,2,6,1,3,2,4,12,5,6,9,2,14,7,9,10,11,2,1,8,7,0,3,10
