"","2000","3000","4000","5000","6000","7000","8000","9000","10000","11000","12000","13000","14000","15000","16000","17000","18000","19000","20000","21000","22000","23000","24000","25000","26000","27000","28000","29000","30000","31000","32000","33000","34000","35000","36000","37000","38000","39000","40000","41000","42000","43000","44000","45000","46000","47000","48000","49000","50000"
"1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,1,0,2,1,1,0,1,2,1,4,1,0,1,3,6,0,0,3,3,1,1,3
"2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0,0,0,0,0,0,1,0,0,0,0,2,0,3,3,1,2,2,0,3,2,4,0,1,1,2,1,1,0,5
"3",0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,3,1,0,0,0,2,0,0,0,2,3,1,1,1,0,0,0,1,1,2,5,1,2,2,0,1,2,1,1,1,5
"4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2,2,0,0,4,3,0,2,0,1,0,2,2,1,0,0,0,0,2,1,5,0,1
"5",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3,0,2,0,1,3,2,2,2,1,0,2,0,2,1,2,2,1,0,2
"6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,1,2,1,0,0,0,1,0,3,1,0,3,2,5,2,1,1,1,2,0,1,3,1
"7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,3,0,1,0,0,0,1,0,1,1,0,4,1,3,0,1,0,2,0,2,0,0,3,4,2,1,2,3
"8",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,2,0,2,0,1,0,1,1,0,1,0,2,1,1
"9",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,1,1,1,0,0,0,0,3,1,0,1,4,2,3,1,1,2,5,5,1,1,5
"10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,1,2,1,0,0,0,1,0,3,1,0,3,2,5,2,1,1,1,2,0,1,3,1
"11",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2,2,0,0,4,3,0,2,0,1,0,2,2,1,0,0,0,0,2,1,5,0,1
"12",0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,3,1,0,0,0,2,0,0,0,2,3,1,1,1,0,0,0,1,1,2,5,1,2,2,0,1,2,1,1,1,5
"13",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0,0,0,0,0,0,1,0,0,0,0,2,0,3,3,1,2,2,0,3,2,4,0,1,1,2,1,1,0,5
"14",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,1,0,2,1,1,0,1,2,1,4,1,0,1,3,6,0,0,3,3,1,1,3
"15",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,2,0,2,0,1,0,1,1,0,1,0,2,1,1
"16",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3,0,2,0,1,3,2,2,2,1,0,2,0,2,1,2,2,1,0,2
"17",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,3,0,1,0,0,0,1,0,1,1,0,4,1,3,0,1,0,2,0,2,0,0,3,4,2,1,2,3
"18",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,3,0,1,0,0,0,1,0,1,1,0,4,1,3,0,1,0,2,0,2,0,0,3,4,2,1,2,3
