"","05-15","05-16","05-17","05-18","05-19","05-20","05-21","05-22","05-23","05-24","05-25","05-26","05-27","05-28","05-29","05-30","05-31","06-01","06-02","06-03","06-04","06-05","06-06","06-07","06-08","06-09","06-10","06-11","06-12","06-13","06-14","06-15","06-16","06-17","06-18","06-19","06-20","06-21","06-22","06-23","06-24","06-25","06-26","06-27","06-28","06-29"
"1",1.2,8.9,9.3,0,3.2,0,10.4,4.6,7.1,4.3,4.1,0,19.3,2,4.3,0,0,11.9,0,16.4,1.5,4.4,0,18.1,19.1,4.4,1.8,16.3,5.8,7.5,11.8,2.4,1.3,0.9,0.7,0.7,0,0,0,0,0.5,0,1.8,0.8,0,0
"2",1.2,8.9,9.3,0,3.2,0,10.4,4.6,7.1,4.3,4.1,0,19.3,2,4.3,0,0,11.9,0,16.4,1.5,4.4,0,18.1,19.1,4.4,1.8,16.3,5.8,7.5,11.8,2.4,1.3,0.9,0.7,0.7,0,0,0,0,0.5,0,1.8,0.8,0,0
"3",1.2,8.9,9.3,0,3.2,0,10.4,4.6,7.1,4.3,4.1,0,19.3,2,4.3,0,0,11.9,0,16.4,1.5,4.4,0,18.1,19.1,4.4,1.8,16.3,5.8,7.5,11.8,2.4,1.3,0.9,0.7,0.7,0,0,0,0,0.5,0,1.8,0.8,0,0
"4",1.2,8.9,9.3,0,3.2,0,10.4,4.6,7.1,4.3,4.1,0,19.3,2,4.3,0,0,11.9,0,16.4,1.5,4.4,0,18.1,19.1,4.4,1.8,16.3,5.8,7.5,11.8,2.4,1.3,0.9,0.7,0.7,0,0,0,0,0.5,0,1.8,0.8,0,0
"5",1.2,8.9,9.3,0,3.2,0,10.4,4.6,7.1,4.3,4.1,0,19.3,2,4.3,0,0,11.9,0,16.4,1.5,4.4,0,18.1,19.1,4.4,1.8,16.3,5.8,7.5,11.8,2.4,1.3,0.9,0.7,0.7,0,0,0,0,0.5,0,1.8,0.8,0,0
"6",1.2,8.9,9.3,0,3.2,0,10.4,4.6,7.1,4.3,4.1,0,19.3,2,4.3,0,0,11.9,0,16.4,1.5,4.4,0,18.1,19.1,4.4,1.8,16.3,5.8,7.5,11.8,2.4,1.3,0.9,0.7,0.7,0,0,0,0,0.5,0,1.8,0.8,0,0
"7",1.2,8.9,9.3,0,3.2,0,10.4,4.6,7.1,4.3,4.1,0,19.3,2,4.3,0,0,11.9,0,16.4,1.5,4.4,0,18.1,19.1,4.4,1.8,16.3,5.8,7.5,11.8,2.4,1.3,0.9,0.7,0.7,0,0,0,0,0.5,0,1.8,0.8,0,0
"8",1.2,8.9,9.3,0,3.2,0,10.4,4.6,7.1,4.3,4.1,0,19.3,2,4.3,0,0,11.9,0,16.4,1.5,4.4,0,18.1,19.1,4.4,1.8,16.3,5.8,7.5,11.8,2.4,1.3,0.9,0.7,0.7,0,0,0,0,0.5,0,1.8,0.8,0,0
"9",0,0.6,0,0,0,0,0,4,5,3.7,4.2,0.9,1.3,3,0,0,0,0,0,1.1,24.2,0,0,0.8,0,0,0,0.7,8.6,1.2,0,0,16.4,0,0,0,0,0,0,3,0,0.1,15,8.8,6.6,2.6
"10",0,0.6,0,0,0,0,0,4,5,3.7,4.2,0.9,1.3,3,0,0,0,0,0,1.1,24.2,0,0,0.8,0,0,0,0.7,8.6,1.2,0,0,16.4,0,0,0,0,0,0,3,0,0.1,15,8.8,6.6,2.6
"11",0,0.6,0,0,0,0,0,4,5,3.7,4.2,0.9,1.3,3,0,0,0,0,0,1.1,24.2,0,0,0.8,0,0,0,0.7,8.6,1.2,0,0,16.4,0,0,0,0,0,0,3,0,0.1,15,8.8,6.6,2.6
"12",0,0.6,0,0,0,0,0,4,5,3.7,4.2,0.9,1.3,3,0,0,0,0,0,1.1,24.2,0,0,0.8,0,0,0,0.7,8.6,1.2,0,0,16.4,0,0,0,0,0,0,3,0,0.1,15,8.8,6.6,2.6
"13",0,0.6,0,0,0,0,0,4,5,3.7,4.2,0.9,1.3,3,0,0,0,0,0,1.1,24.2,0,0,0.8,0,0,0,0.7,8.6,1.2,0,0,16.4,0,0,0,0,0,0,3,0,0.1,15,8.8,6.6,2.6
