Year,Surveyor,Site.Name,Site.Code,Ownership,Territory.Age,Territory.Search.Time,Territory.Search.Effort,Number.of.Visits,Grid.Reference,Latitude,Longitude,County,Birds.Present,Age.of.Female,Age.of.Male,Nest.Built.Up.,Nest.Tree.Species,Nest.Height..m.,Eggs.laid.,Number.of.Eggs,Eggs.hatched.,Number.of.Eggs.Hatched,Young.chicks.fail.,Chicks.ringed.,Number.of.chicks.ringed,Fledged.,When.did.you.check.fledging.,Number.of.Chicks.Fledged,S.Petty.Breeding.Code,Dominant.Surrounding.Habitat,Reasons.for.Nest.Failure,Comments,S.Petty_F,Breeding.Success,Elevation,Rain_con,Year_f,Site_f,rad_10km_dens,Elevation_cat,Elevation_cat_f,Surveyor_f,rad_10km_pers,Ownership_f,rad_10km_pens
1981,MD,Archie's Rigg,G002,State,4,4,No,NA,NY704829,55.139565,-2.4658678,NBLD,BP,U,U,Yes,NA,NA,Yes,4,Yes,NA,Yes,No,0,No,NA,0,5,Plantation,NA,NA,5,0,328,13,1981,Archie's Rigg,1,Low,Low,MD,0,State,2
1981,MD,Blacklyne,G016,State,1,1,No,NA,NY552815,55.12584,-2.7040687,CMBR,BP,U,U,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,Plantation,NA,NA,2,0,238,13,1981,Blacklyne,2,Low,Low,MD,0,State,5
1981,MD,English Kershope,G054,State,1,1,No,NA,NY521851,55.157896,-2.7532859,CMBR,BP,U,U,Yes,NA,NA,Yes,3,Yes,3,No,No,0,Yes,NA,3,7,NA,NA,NA,7,1,186,13,1981,English Kershope,1,Low,Low,MD,0,State,0
1981,MD,Harriett's Linn,G074,State,9,9,No,NA,NY629912,55.213637,-2.5846036,NBLD,BP,U,U,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,Plantation,NA,NA,2,0,236,13,1981,Harriett's Linn,1,Low,Low,MD,0,State,3
1981,MD,Hindhopeburn,G084,State,1,1,No,NA,NT771001,55.294474,-2.3621709,NBLD,BP,U,U,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,Plantation,NA,NA,2,0,239,13,1981,Hindhopeburn,0,Low,Low,MD,0,State,1
1981,MD,Liddlepark,G098,State,1,1,No,NA,NY471765,55.080115,-2.8301429,CMBR,BP,U,U,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,Plantation and rough grassland,NA,NA,2,0,186,13,1981,Liddlepark,1,Low,Low,MD,0,State,0
1981,MD,Pundershaw,G118,State,1,1,No,NA,NY778795,55.109402,-2.3495214,NBLD,BP,U,U,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,Plantation and rough grassland,NA,NA,2,0,246,13,1981,Pundershaw,1,Low,Low,MD,0,State,1
1981,MD,Woody Crag,G165,State,9,9,No,NA,NY637963,55.259522,-2.57269,NBLD,BP,U,U,Yes,NA,NA,Yes,4,Yes,NA,No,No,0,Yes,NA,3,7,Plantation and Moorland,NA,NA,7,1,291,13,1981,Woody Crag,1,Low,Low,MD,0,State,10
1982,MD,Archie's Rigg,G002,State,5,5,No,NA,NY704829,55.139565,-2.4658678,NBLD,BP,U,U,Yes,NA,NA,Yes,4,Yes,4,No,No,0,Yes,NA,4,7,Plantation,NA,NA,7,1,328,7,1982,Archie's Rigg,2,Low,Low,MD,0,State,3
1982,MD,Blacklyne,G016,State,2,2,No,NA,NY552815,55.12584,-2.7040687,CMBR,BP,U,U,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,Plantation,NA,NA,2,0,238,7,1982,Blacklyne,2,Low,Low,MD,0,State,0
