Year,Surveyor,Site.Code,Ownership,Territory.Age,Territory.Search.Time,Territory.Search.Effort,Number.of.Visits,Grid.Reference,Latitude,Longitude,County,Birds.Present,Age.of.Female,Age.of.Male,Nest.Built.Up.,Nest.Tree.Species,Nest.Height..m.,Eggs.laid.,Number.of.Eggs,Eggs.hatched.,Number.of.Eggs.Hatched,Young.chicks.fail.,Chicks.ringed.,Number.of.chicks.ringed,Fledged.,When.did.you.check.fledging.,Number.of.Chicks.Fledged,S.Petty.Breeding.Code,Dominant.Surrounding.Habitat,Reasons.for.Nest.Failure,Comments,S.Petty_F,Breeding.Success,Altitude
1987,A,G001,State,1,1,Yes,NA,NY752832,55.142525,-2.3905998,NBLD,BP,U,U,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,Plantation and rough grassland,NA,NA,2,0,168
1988,A,G001,State,2,2,Yes,NA,NY752832,55.142525,-2.3905998,NBLD,BP,U,U,Yes,NA,NA,Yes,5,Yes,3,No,No,0,Yes,NA,3,7,Plantation and rough grassland,NA,NA,7,1,168
1990,A,G001,State,4,4,Yes,NA,NY752832,55.142525,-2.3905998,NBLD,BP,U,U,Yes,NA,NA,No,0,NA,NA,NA,NA,NA,NA,NA,NA,3,Plantation and rough grassland,NA,NA,3,0,168
1991,A,G001,State,5,5,Yes,NA,NY747808,55.120934,-2.3982287,NBLD,BP,U,U,Yes,NA,NA,Yes,4,Yes,4,No,No,0,Yes,NA,4,7,Plantation and rough grassland,NA,NA,7,1,274
1992,A,G001,State,6,6,Yes,NA,NY747808,55.120934,-2.3982287,NBLD,BP,U,U,Yes,NA,NA,Yes,4,Yes,3,No,NA,NA,Yes,NA,3,7,Plantation and rough grassland,NA,NA,7,1,274
1993,A,G001,State,7,7,Yes,NA,NY747808,55.120934,-2.3982287,NBLD,BP,U,U,Yes,NA,NA,Yes,2,Yes,2,No,No,0,Yes,NA,2,7,Plantation and rough grassland,NA,NA,7,1,274
1994,A,G001,State,8,8,Yes,NA,NY747808,55.120934,-2.3982287,NBLD,BP,U,U,Yes,NA,NA,Yes,2,No,0,NA,NA,NA,NA,NA,NA,4,Plantation and rough grassland,NA,NA,4,0,274
1995,A,G001,State,9,9,Yes,NA,NY747808,55.120934,-2.3982287,NBLD,BP,U,U,Yes,NA,NA,Yes,2,Yes,2,No,No,0,Yes,NA,2,7,Plantation and rough grassland,NA,NA,7,1,274
1997,A,G001,State,11,11,Yes,NA,NY7366082107,55.132624,-2.4146566,NBLD,SB,U,U,Yes,NA,NA,No,0,NA,NA,NA,NA,NA,NA,NA,NA,3,Plantation and rough grassland,NA,NA,3,0,225
1998,A,G001,State,12,12,Yes,NA,NY7366082107,55.132624,-2.4146566,NBLD,BP,U,U,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,Plantation and rough grassland,NA,NA,3,0,225
1999,A,G001,State,13,13,Yes,NA,NY7401981816,55.130028,-2.4089995,NBLD,BP,U,U,Yes,NA,NA,No,0,NA,NA,NA,NA,NA,NA,NA,NA,3,Plantation and rough grassland,NA,NA,3,0,240
2000,A,G001,State,14,14,Yes,NA,NY7401981816,55.130028,-2.4089995,NBLD,BP,U,U,Yes,NA,NA,Yes,4,Yes,4,No,No,0,Yes,NA,4,7,Plantation and rough grassland,NA,NA,7,1,240
2003,A,G001,State,17,17,Yes,NA,NY744815,55.127208,-2.4029958,NBLD,BP,U,U,Yes,NA,NA,Yes,NA,No,NA,NA,NA,NA,NA,NA,NA,4,Plantation and rough grassland,NA,NA,4,0,225
2004,A,G001,State,18,18,Yes,NA,NY755805,55.118278,-2.3856595,NBLD,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,Plantation and rough grassland,NA,NA,1,NA,303
2007,A,G001,State,21,21,Yes,NA,NY748824,55.135316,-2.3968034,NBLD,BP,U,U,Yes,NA,NA,Yes,1,Yes,1,No,No,0,Yes,NA,1,7,Plantation and rough grassland,NA,NA,7,1,231
2008,A,G001,State,22,22,Yes,NA,NY748824,55.135316,-2.3968034,NBLD,BP,U,U,Yes,NA,NA,Yes,3,Yes,3,No,Yes,3,Yes,At ringing,3,7,Plantation and rough grassland,NA,NA,7,1,231
2009,A,G001,State,23,23,Yes,NA,NY748824,55.135316,-2.3968034,NBLD,BP,U,U,Yes,NA,NA,Yes,1,Yes,1,No,Yes,1,Yes,At ringing,1,7,Plantation and rough grassland,NA,NA,7,1,231
