"Year","Ownership","Territory.Age","Territory.Search.Time","Territory.Search.Effort","Number.of.Visits","Birds.Present","Age.of.Female","Age.of.Male","Nest.Built.Up.","Nest.Tree.Species","Nest.Height..m.","Eggs.laid.","Number.of.Eggs","Eggs.hatched.","Number.of.Eggs.Hatched","Young.chicks.fail.","Chicks.ringed.","Number.of.chicks.ringed","Fledged.","When.did.you.check.fledging.","Number.of.Chicks.Fledged","S.Petty.Breeding.Code","Dominant.Surrounding.Habitat","Reasons.for.Nest.Failure","Comments","S.Petty_F","Breeding.Success","Elevation","Rain_con","Site.Code","Surveyor_A","Site.code.f","Year_f"
1981,"State",4,4,"No",NA,"BP","U","U","Yes",NA,NA,"Yes",4,"Yes",NA,"Yes","No",0,"No",NA,0,5,"Plantation",NA,NA,5,0,328,13,"G002","S003","G002","1981"
1981,"State",1,1,"No",NA,"BP","U","U","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,"Plantation",NA,NA,2,0,238,13,"G016","S003","G016","1981"
1981,"State",1,1,"No",NA,"BP","U","U","Yes",NA,NA,"Yes",3,"Yes",3,"No","No",0,"Yes",NA,3,7,NA,NA,NA,7,1,186,13,"G057","S003","G057","1981"
1981,"State",9,9,"No",NA,"BP","U","U","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,"Plantation",NA,NA,2,0,236,13,"G080","S003","G080","1981"
1981,"State",1,1,"No",NA,"BP","U","U","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,"Plantation",NA,NA,2,0,239,13,"G091","S003","G091","1981"
1981,"State",1,1,"No",NA,"BP","U","U","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,"Plantation and rough grassland",NA,NA,2,0,186,13,"G105","S003","G105","1981"
1981,"State",1,1,"No",NA,"BP","U","U","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,"Plantation and rough grassland",NA,NA,2,0,246,13,"G127","S003","G127","1981"
1981,"State",9,9,"No",NA,"BP","U","U","Yes",NA,NA,"Yes",4,"Yes",NA,"No","No",0,"Yes",NA,3,7,"Plantation and Moorland",NA,NA,7,1,291,13,"G174","S003","G174","1981"
1982,"State",5,5,"No",NA,"BP","U","U","Yes",NA,NA,"Yes",4,"Yes",4,"No","No",0,"Yes",NA,4,7,"Plantation",NA,NA,7,1,328,7,"G002","S003","G002","1982"
1982,"State",2,2,"No",NA,"BP","U","U","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,"Plantation",NA,NA,2,0,238,7,"G016","S003","G016","1982"
1982,"State",2,2,"No",NA,"BP","U","U","Yes",NA,NA,"Yes",3,"Yes",3,"No","No",0,"Yes",NA,3,7,NA,NA,NA,7,1,186,7,"G057","S003","G057","1982"
1982,"State",1,1,"No",NA,"BP","U","U","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,"Plantation and rough grassland",NA,NA,2,0,289,7,"G074","S003","G074","1982"
1982,"State",10,10,"No",NA,"BP","U","U","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,"Plantation",NA,NA,2,0,236,7,"G080","S003","G080","1982"
1982,"State",2,2,"No",NA,"BP","U","U","Yes",NA,NA,"Yes",3,"Yes",3,"No","No",0,"Yes",NA,3,7,"Plantation",NA,NA,7,1,239,7,"G091","S003","G091","1982"
